verse,grammar,surah
وَالَّذِينَ يُؤْمِنُونَ بِما أُنْزِلَ إِلَيْكَ وَما أُنْزِلَ مِنْ قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,"(الواو) عاطفة. ﴿الَّذِينَ﴾ اسم موصول، معطوف على اسم الموصول السابق.
﴿يُؤْمِنُونَ﴾: مضى إعرابها في الآية السابقة (٣).والجملة صلة الموصول. ﴿بِما﴾ جار ومجرور، متعلق ب: (يؤمنون). ﴿أُنْزِلَ﴾ فعل ماض مبني للمفعول، ونائب الفاعل مستتر تقديره: هو.
﴿إِلَيْكَ﴾ جار ومجرور، متعلق ب (أنزل).وجملة: ﴿أُنْزِلَ﴾: صلة الموصول (ما). ﴿وَما﴾:
(الواو): عاطفة. (ما): اسم موصول في محل جر بالعطف على (ما) الأولى. ﴿أُنْزِلَ﴾: مثل السابق.
﴿مِنْ قَبْلِكَ﴾: جار ومجرور، متعلق ب ﴿أُنْزِلَ﴾ و(الكاف): مضاف إليه. وجملة: ﴿أُنْزِلَ ...﴾:
صلة الموصول. (الواو): عاطفة. ﴿بِالْآخِرَةِ﴾: جار ومجرور، متعلق ب (يوقنون) الآتي. ﴿هُمْ﴾:
مبتدأ. ﴿يُوقِنُونَ﴾: فعل مضارع مرفوع بثبوت النون، و(الواو): فاعل. وجملة: ﴿يُوقِنُونَ﴾: في محل رفع خبر. وجملة: ﴿بِالْآخِرَةِ هُمْ يُوقِنُونَ﴾: معطوفة على جملة: ﴿يُؤْمِنُونَ،﴾ لا محل لها.",البقرة
أُولئِكَ عَلى هُدىً مِنْ رَبِّهِمْ وَأُولئِكَ هُمُ الْمُفْلِحُونَ,"﴿أُولئِكَ﴾: اسم إشارة مبتدأ. ﴿عَلى هُدىً﴾: جار ومجرور، متعلق بمحذوف خبر المبتدأ؛ أي: ثابتون على هدى. ﴿مِنْ رَبِّهِمْ﴾: جار ومجرور، متعلق بمحذوف نعت ل:
﴿هُدىً﴾. و(الهاء): مضاف إليه. وجملة: ﴿أُولئِكَ ...﴾: استئنافية. (الواو): عاطفة.
﴿أُولئِكَ﴾: اسم إشارة مبتدأ. ﴿هُمُ﴾: ضمير فصل لا محل له، [أو مبتدأ، وخبره: (المفلحون).
والجملة من المبتدأ والخبر في محل رفع خبر المبتدأ: (أولئك)]. ﴿الْمُفْلِحُونَ﴾: خبر المبتدإ: (أولئك) مرفوع بالواو. والجملة من المبتدأ والخبر معطوفة على السابقة، لا محل لها.",البقرة
إِنَّ الَّذِينَ كَفَرُوا سَواءٌ عَلَيْهِمْ أَأَنْذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ لا يُؤْمِنُونَ ,"﴿أَأَنْذَرْتَهُمْ﴾: (الهمزة): حرف مصدري. (أنذر): فعل ماض. و(التاء): فاعل. و(الهاء): مفعول به. والمصدر المؤول من الهمزة والفعل في محل رفع مبتدأ مؤخر. وجملة: ﴿سَواءٌ﴾: اعتراضية.
﴿أَمْ﴾: عاطفة. ﴿لَمْ﴾: حرف نفي وجزم وقلب. ﴿تُنْذِرْهُمْ﴾: (تنذر): فعل مضارع مجزوم.
والفاعل مستتر تقديره: أنت. و(الهاء): مفعول به. وجملة: ﴿لَمْ تُنْذِرْهُمْ﴾: معطوفة على جملة ﴿أَأَنْذَرْتَهُمْ﴾ في محل رفع. ﴿لا﴾ نافية. ﴿يُؤْمِنُونَ﴾: فعل مضارع مرفوع بثبوت النون، و(الواو): فاعل. وجملة: ﴿لا يُؤْمِنُونَ﴾: في محل رفع خبر (إنّ).",البقرة
خَتَمَ اللهُ عَلى قُلُوبِهِمْ وَعَلى سَمْعِهِمْ وَعَلى أَبْصارِهِمْ غِشاوَةٌ وَلَهُمْ عَذابٌ عَظِيمٌ,"﴿خَتَمَ﴾: فعل ماض. ﴿اللهُ﴾: لفظ الجلالة فاعل مرفوع. ﴿عَلى قُلُوبِهِمْ﴾: جار ومجرور، متعلق ب ﴿خَتَمَ﴾. و(الهاء): مضاف إليه. ﴿وَعَلى سَمْعِهِمْ﴾: (الواو): عاطفة.
(على سمعهم): مثل ﴿عَلى قُلُوبِهِمْ،﴾ ومعطوف عليه. وجملة: ﴿خَتَمَ ...﴾: استئنافية.
﴿وَعَلى أَبْصارِهِمْ﴾: (الواو): عاطفة. (على أبصارهم): جار ومجرور، متعلق بمحذوف خبر مقدم.
و(الهاء): مضاف إليه. ﴿غِشاوَةٌ﴾: مبتدأ مؤخر مرفوع. وجملة: (على أبصارهم ...): معطوفة على السابقة. (الواو): عاطفة. ﴿لَهُمْ﴾: جار ومجرور، متعلق بمحذوف خبر مقدم. ﴿عَذابٌ﴾: مبتدأ مؤخر مرفوع. ﴿عَظِيمٌ﴾: نعت مرفوع بالضمة، والجملة الاسمية معطوفة على الاستئنافية قبلها.",البقرة
وَمِنَ النّاسِ مَنْ يَقُولُ آمَنّا بِاللهِ وَبِالْيَوْمِ الْآخِرِ وَما هُمْ بِمُؤْمِنِينَ,"(الواو) استئنافية. ﴿مِنَ النّاسِ﴾: جار ومجرور، متعلق بمحذوف خبر مقدم.
﴿مِنَ﴾: اسم موصول مبتدأ مؤخر. والجملة الاسمية استئنافية. ﴿يَقُولُ﴾: فعل مضارع مرفوع، والفاعل مستتر تقديره: هو. وجملة: ﴿يَقُولُ ...﴾: صلة الموصول. ﴿آمَنّا﴾: (آمن): فعل ماض. و(نا): فاعل. ﴿بِاللهِ﴾: جار ومجرور، متعلق ب ﴿آمَنّا﴾. ﴿وَبِالْيَوْمِ﴾: (الواو): عاطفة.
(باليوم): جار ومجرور معطوف على سابقه. ﴿الْآخِرِ﴾: نعت ل (اليوم) مجرور. وجملة:
﴿آمَنّا ...﴾: في محل نصب مقول القول. ﴿وَما﴾: (الواو): واو الحال. (ما): نافية، تعمل عمل ليس. ﴿هُمْ﴾: اسم (ما) في محل رفع. ﴿بِمُؤْمِنِينَ﴾: الباء حرف جر، صلة للتوكيد.
(مؤمنين): خبر (ما) مجرور لفظا منصوب محلاّ. والجملة الاسمية في محل نصب حال.",البقرة
يُخادِعُونَ اللهَ وَالَّذِينَ آمَنُوا وَما يَخْدَعُونَ إِلاّ أَنْفُسَهُمْ وَما يَشْعُرُونَ,"الجلالة مفعول به منصوب. (الواو): عاطفة. ﴿الَّذِينَ﴾: اسم موصول معطوف على لفظ الجلالة في محل نصب. ﴿آمَنُوا﴾: فعل ماض، و(الواو): فاعل. وجملة: ﴿آمَنُوا﴾: صلة الموصول.
وجملة: ﴿يَخْدَعُونَ ...﴾: في محل نصب حال من الضمير المستتر في (يقول)، في الآية السابقة والتقدير: يقول آمنا مخادعين. [أو حال من الضمير في ﴿بِمُؤْمِنِينَ،﴾ والتقدير: وما هم بمؤمنين في حال خداعهم]. (الواو): واو الحال. (ما): نافية. ﴿يَخْدَعُونَ﴾: فعل مضارع مرفوع بثبوت النون، و(الواو): فاعل. ﴿إِلاّ﴾: أداة استثناء وحصر. ﴿أَنْفُسَهُمْ﴾: مفعول به منصوب. و(الهاء): مضاف إليه. وجملة: (ما يخدعون ...): في محل نصب حال. ﴿وَما يَشْعُرُونَ﴾: (الواو): حالية [أو عاطفة]. (ما يشعرون): مثل: ما يخدعون. وجملة: (ما يشعرون): في محل نصب حال من فاعل ﴿يَخْدَعُونَ﴾ [أو معطوفة على السابقة].",البقرة
فِي قُلُوبِهِمْ مَرَضٌ فَزادَهُمُ اللهُ مَرَضًا وَلَهُمْ عَذابٌ أَلِيمٌ بِما كانُوا يَكْذِبُو,"﴿فِي قُلُوبِهِمْ﴾: جار ومجرور، متعلق بمحذوف خبر مقدم. و(الهاء): مضاف إليه. ﴿مَرَضٌ﴾: مبتدأ مؤخر، مرفوع. والجملة الاسمية استئنافية. ﴿فَزادَهُمُ﴾: (الفاء): عاطفة.
(زادهم): فعل ماض. و(الهاء): مفعول به أول. ﴿اللهُ﴾: لفظ الجلالة فاعل مرفوع. ﴿مَرَضًا﴾:
مفعول به ثان منصوب. والجملة الفعلية معطوفة على السابقة لا محل لها. (الواو): عاطفة.
﴿لَهُمْ﴾: جار ومجرور، متعلق بمحذوف خبر مقدم. ﴿عَذابٌ﴾: مبتدأ مؤخر مرفوع. ﴿أَلِيمٌ﴾:
نعت مرفوع. والجملة الاسمية معطوفة على السابقة: (زادهم ...) لا محل لها. ﴿بِما﴾: (الباء):
حرف جر. (ما): اسم موصول مبني في محل جر، والجار والمجرور متعلق بمحذوف نعت ل ﴿أَلِيمٌ﴾ تقديره: كائن أو مستحق. ﴿كانُوا﴾: فعل ماض ناقص، و(الواو): اسم (كان) في محل رفع.
﴿يَكْذِبُونَ﴾: فعل مضارع مرفوع بثبوت النون، و(الواو): فاعل. وجملة: ﴿يَكْذِبُونَ﴾: في محل نصب خبر (كان).وجملة: ﴿كانُوا ...﴾: صلة الموصول",البقرة
وَإِذا قِيلَ لَهُمْ لا تُفْسِدُوا فِي الْأَرْضِ قالُوا إِنَّما نَحْنُ مُصْلِحُونَ,"﴿وَإِذا﴾: (الواو): استئنافية. (إذا): ظرف لما يستقبل من الزمان، تضمن معنى الشرط، خافض لشرطه منصوب بجوابه. ﴿قِيلَ﴾: فعل ماض مبني للمجهول، ونائب الفاعل محذوف يفسره الجملة التالية. وجملة: ﴿قِيلَ ...﴾: في محل جر مضاف إليه، وجملة: إذا قيل
استئنافية. ﴿لَهُمْ﴾: جار ومجرور، متعلق ب ﴿قِيلَ﴾. ﴿لا﴾: ناهية جازمة. ﴿تُفْسِدُوا﴾: فعل
مضارع مجزوم بحذف النون، و(الواو): فاعل. ﴿فِي الْأَرْضِ﴾: جار ومجرور، متعلق ب ﴿تُفْسِدُوا﴾. وجملة: ﴿لا تُفْسِدُوا ...﴾: تفسيرية لنائب الفاعل المقدر. [وهناك رأي يرى أن جملة: ﴿لا تُفْسِدُوا﴾: في محل رفع نائب فاعل؛ لأنها في الأصل مقول القول، فلما حذف الفاعل حلت محله]. ﴿قالُوا﴾: فعل ماض، و(الواو): فاعل. وجملة: ﴿قالُوا﴾: جواب شرط (إذا) الشرطية غير الجازمة، لا محل لها من الإعراب. ﴿إِنَّما﴾: حرف ناسخ مكفوف عن العمل ب (ما) الكافة. ﴿نَحْنُ﴾: مبتدأ. ﴿مُصْلِحُونَ﴾: خبر مرفوع بالواو. وجملة: ﴿إِنَّما نَحْنُ ...﴾: في محل نصب مقول القول.",البقرة
أَلا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلكِنْ لا يَشْعُرُونَ,"﴿أَلا﴾: حرف تنبيه واستفتاح. ﴿إِنَّهُمْ﴾: حرف توكيد ونصب، و(الهاء):
اسم (إنّ) في محل نصب. ﴿هُمُ﴾: ضمير فصل [أو مبتدأ، و﴿الْمُفْسِدُونَ﴾ خبره، والجملة خبر (إنّ)]. ﴿الْمُفْسِدُونَ﴾: خبر (إنّ) مرفوع بالواو. والجملة الاسمية ﴿أَلا إِنَّهُمْ ...﴾: استئنافية.
﴿وَلكِنْ﴾: (الواو): عاطفة [أو حالية]. (لكن): حرف استدراك. ﴿لا﴾: نافية. ﴿يَشْعُرُونَ﴾:
فعل مضارع مرفوع بثبوت النون، و(الواو): فاعل. والجملة من الفعل والفاعل معطوفة على الجملة السابقة، لا محل لها. [أو في محل نصب حال من الضمير المستكن في ﴿الْمُفْسِدُونَ﴾].",البقرة
وَإِذا قِيلَ لَهُمْ آمِنُوا كَما آمَنَ النّاسُ قالُوا أَنُؤْمِنُ كَما آمَنَ السُّفَهاءُ أَلا إِنَّهُمْ هُمُ السُّفَهاءُ وَلكِنْ لا يَعْلَمُونَ," ﴿آمِنُوا﴾: فعل أمر مبني على حذف النون، و(الواو): فاعل. وجملة: ﴿آمِنُوا ...﴾: تفسيرية لنائب الفاعل المقدر. [أو هي في محل رفع نائب الفاعل]. ﴿كَما﴾: (الكاف): حرف جر. و(ما): حرف مصدري. ﴿آمَنَ﴾: فعل ماض. ﴿النّاسُ﴾: فاعل مرفوع. والمصدر المؤول من (ما) والفعل في محل جر ب (الكاف)، والجار والمجرور متعلق بمحذوف مفعول مطلق؛ أي: آمنوا إيمانا كإيمان الناس. ﴿قالُوا﴾: فعل ماض، و(الواو): فاعل. وجملة: ﴿قالُوا ...﴾: جواب شرط غير جازم لا محل لها. ﴿أَنُؤْمِنُ﴾:
(الهمزة): حرف استفهام. (نؤمن): فعل مضارع مرفوع، والفاعل مستتر تقديره: نحن. وجملة:
﴿كَما آمَنَ السُّفَهاءُ﴾: تعرب مثل ﴿كَما آمَنَ النّاسُ﴾ وجملة: ﴿أَنُؤْمِنُ ...﴾: في محل نصب مقول القول. ﴿أَلا إِنَّهُمْ هُمُ السُّفَهاءُ وَلكِنْ لا يَعْلَمُونَ﴾",البقرة
وَإِذا لَقُوا الَّذِينَ آمَنُوا قالُوا آمَنّا وَإِذا خَلَوْا إِلى شَياطِينِهِمْ قالُوا إِنّا مَعَكُمْ إِنَّما نَحْنُ مُسْتَهْزِؤُنَ,"﴿وَإِذا﴾ سبق إعرابها في الآية (١١). ﴿لَقُوا﴾: فعل ماض مبني على الضم المقدر على الياء المحذوفة، و(الواو): فاعل. ﴿الَّذِينَ﴾: اسم موصول مفعول به. وجملة:
﴿لَقُوا﴾: في محل جر مضاف إليه. وجملة: (إذا لقوا): معطوفة على جملة: (إذا قيل ...) في الآية السابقة. ﴿آمَنُوا﴾: فعل ماض، و(الواو): فاعل. وجملة: ﴿آمَنُوا﴾: صلة الموصول.
﴿قالُوا﴾: فعل ماض، و(الواو): فاعل. وجملة: ﴿قالُوا﴾: جواب شرط غير جازم. ﴿آمَنّا﴾:
فعل ماض. و(نا): فاعل. وجملة: ﴿آمَنّا﴾: في محل نصب مقول القول. ﴿وَإِذا﴾: انظر الآية (١١). ﴿خَلَوْا﴾: فعل ماض مبني على الضم المقدر على الألف المحذوفة؛ لالتقاء الساكنين، و(الواو): فاعل. وجملة: ﴿خَلَوْا﴾: في محل جر مضاف إليه. وجملة: (إذا خلوا ...): معطوفة على جملة: ﴿وَإِذا لَقُوا﴾. ﴿إِلى شَياطِينِهِمْ﴾: جار ومجرور، متعلق ب ﴿خَلَوْا،﴾ و(الهاء):
مضاف إليه. ﴿قالُوا﴾: فعل ماض، و(الواو): فاعل. وجملة: ﴿قالُوا﴾: جواب شرط غير جازم.
﴿إِنّا﴾: (إنّ): حرف ناسخ. و(نا): اسم (إن) في محل نصب. ﴿مَعَكُمْ﴾: ظرف مكان منصوب متعلق بمحذوف خبر (إنّ).و(الكاف): مضاف إليه. وجملة: ﴿إِنّا مَعَكُمْ﴾: في محل نصب.
مقول القول. ﴿إِنَّما نَحْنُ مُسْتَهْزِؤُنَ﴾: مثل: ﴿إِنَّما نَحْنُ مُصْلِحُونَ﴾ في الآية (١١).وجملة:
﴿إِنَّما نَحْنُ﴾: استئنافية.",البقرة
اللهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيانِهِمْ يَعْمَهُونَ,"﴿اللهُ﴾: لفظ الجلالة مبتدأ مرفوع. ﴿يَسْتَهْزِئُ﴾: فعل مضارع مرفوع. والفاعل مستتر تقديره هو. وجملة: (يستهزئ): في محل رفع خبر المبتدإ. وجملة: ﴿اللهُ ...﴾: استئنافية.
﴿بِهِمْ﴾: جار ومجرور، متعلق ب ﴿يَسْتَهْزِئُ﴾. ﴿وَيَمُدُّهُمْ﴾: (الواو): عاطفة. (يمدّهم): فعل مضارع مرفوع، والفاعل مستتر تقديره: هو. و(الهاء): مفعول به. وجملة: (يمدّهم ...): معطوفة على جملة:
﴿يَسْتَهْزِئُ﴾ في محل رفع. ﴿فِي طُغْيانِهِمْ﴾: جار ومجرور، متعلق ب (يمد) و(الهاء): مضاف إليه.
﴿يَعْمَهُونَ﴾: فعل مضارع مرفوع بثبوت النون، و(الواو): فاعل. وجملة: ﴿يَعْمَهُونَ﴾: في محل نصب حال من الضمير المنصوب في (يمدّهم).",البقرة
أُولئِكَ الَّذِينَ اِشْتَرَوُا الضَّلالَةَ بِالْهُدى فَما رَبِحَتْ تِجارَتُهُمْ وَما كانُوا مُهْتَدِينَ ,"﴿أُولئِكَ﴾ اسم إشارة مبتدأ. ﴿الَّذِينَ﴾: اسم موصول خبر. وجملة:
﴿أُولئِكَ﴾: استئنافية. ﴿اِشْتَرَوُا﴾: فعل ماض، و(الواو): فاعل. وجملة: ﴿اشْتَرَوُا﴾: صلة الموصول. ﴿الضَّلالَةَ﴾: مفعول به منصوب. ﴿بِالْهُدى﴾: جار ومجرور، متعلق ب ﴿اِشْتَرَوُا﴾.
﴿فَما﴾: (الفاء): حرف عطف. و(ما): نافية. ﴿رَبِحَتْ﴾: فعل ماض، والتاء للتأنيث.
﴿تِجارَتُهُمْ﴾: فاعل مرفوع. و(الهاء): مضاف إليه. وجملة: ﴿فَما رَبِحَتْ ...﴾: لا محل لها بالعطف على جملة الصلة. ﴿وَما﴾: (الواو): حرف عطف. ﴿ما﴾: نافية. ﴿كانُوا﴾: فعل ماض ناسخ، و(الواو): اسم (كان). ﴿مُهْتَدِينَ﴾: خبر (كان) منصوب بالياء. وجملة: (ما كانوا ...):
لا محل لها بالعطف على جملة الصلة.",البقرة
مَثَلُهُمْ كَمَثَلِ الَّذِي اِسْتَوْقَدَ نارًا فَلَمّا أَضاءَتْ ما حَوْلَهُ ذَهَبَ اللهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُماتٍ لا يُبْصِرُونَ,"﴿مَثَلُهُمْ﴾: مبتدأ مرفوع. و(الهاء): مضاف إليه. ﴿كَمَثَلِ﴾ جار ومجرور، متعلق بمحذوف خبر. والجملة الاسمية استئنافية. ﴿الَّذِي﴾: اسم موصول مضاف إليه.
﴿اِسْتَوْقَدَ﴾: فعل ماض، والفاعل مستتر تقديره: هو. ﴿نارًا﴾: مفعول به منصوب. وجملة:
﴿اسْتَوْقَدَ ...﴾: صلة الموصول. ﴿فَلَمّا﴾: (الفاء): عاطفة. (لما): ظرف زمان بمعنى حين، تضمن معنى الشرط، خافض لشرطه، منصوب بجوابه. ﴿أَضاءَتْ﴾: فعل ماض. و(التاء):
للتأنيث. والفاعل مستتر تقديره: هي. ﴿ما﴾: اسم موصول مفعول به. وجملة:
﴿أَضاءَتْ ...﴾: في محل جر مضاف إليه، وجملة: لما أضاءت معطوفة على جملة:
استوقد .... ﴿حَوْلَهُ﴾: ظرف مكان منصوب متعلق بمحذوف صلة الموصول. و(الهاء): مضاف إليه. ﴿ذَهَبَ﴾: فعل ماض. ﴿اللهُ﴾: لفظ الجلالة فاعل مرفوع. ﴿بِنُورِهِمْ﴾: جار ومجرور، متعلق ب ﴿ذَهَبَ،﴾ و(الهاء): مضاف إليه. وجملة: ﴿ذَهَبَ اللهُ ...﴾: جواب شرط غير جازم.
﴿وَتَرَكَهُمْ﴾: (الواو): عاطفة. (تركهم): فعل ماض، والفاعل مستتر تقديره: هو. و(الهاء): مفعول به. وجملة: تركهم ... معطوفة على جملة: ذهب ... ﴿فِي ظُلُماتٍ﴾: جار ومجرور، متعلق بمحذوف مفعول به ثان ل (ترك)، وتقديره: متحيرين أو تائهين، [ويجوز أن يكون الجار والمجرور متعلق بمحذوف حال من الضمير في (تركهم)، أو في (يبصرون)، ويجوز أن يتعلق ب (تركهم) أو ب (يبصرون)]. ﴿لا﴾: نافية. ﴿يُبْصِرُونَ﴾: فعل مضارع مرفوع بثبوت النون، و(الواو): فاعل.
وجملة: ﴿لا يُبْصِرُونَ﴾: في محل نصب حال من الضمير المنصوب في (تركهم). [وإذا اعتبرنا
الجار والمجرور حالا تكون جملة: ﴿لا يُبْصِرُونَ﴾ في محل نصب مفعول به ثان].",البقرة
صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لا يَرْجِعُونَ,"﴿صُمٌّ﴾: خبر مرفوع لمبتدإ محذوف تقديره: هم. ﴿بُكْمٌ﴾: خبر ثان مرفوع.
﴿عُمْيٌ﴾: خبر ثالث مرفوع. والجملة الاسمية «هم) صم ...): استئنافية. ﴿فَهُمْ﴾: (الفاء): عاطفة.
(هم): مبتدأ. ﴿لا﴾: نافية. ﴿يَرْجِعُونَ﴾: فعل مضارع مرفوع بثبوت النون، و(الواو): فاعل.
وجملة: (لا يرجعون): في محل رفع خبر المبتدأ. وجملة: (هم لا ...): لا محل لها بالعطف على السابقة.",البقرة
